Model,MAE,MSE,RMSE,R2,MAPE%
Linear Regression,46270.0728303316,3839294692.9063663,61962.04235583561,0.5929052738658604,30.0325817046089
Decision Tree,37171.76690150584,3012008491.1675334,54881.76829483115,0.6806255133029835,21.847558195959223
Random Forest,29980.721506361322,1987830680.8407285,44585.09482821281,0.7892229038544314,17.887590531560786
